priority,junction_name,police_station,window,shift,busiest_dow,violations,capturable_viol,cum_located_%,cum_captured_%,corridor,cells,lat,lon
1,BTP051 - Safina Plaza Junction,Shivajinagar,09:00-12:00,A Morning (06-11),Sunday,14525,5181.4,5.399989590381512,1.9262999011086241,False,15,12.980819803533459,77.6077953671912
2,BTP040 - Elite Junction,Upparpet,08:00-11:00,A Morning (06-11),Saturday,10495,2903.6,9.301737662743232,3.0057773382605526,True,4,12.976389280772679,77.57669191282878
3,BTP044 - Sagar Theatre Junction,Upparpet,08:00-11:00,A Morning (06-11),Sunday,9782,2762.1999999999994,12.93841223576299,4.032686202050694,False,10,12.974575807050977,77.57850771732495
4,BTP082 - KR Market Junction,City Market,00:00-03:00,E Late-night (00-06),Sunday,11748,2341.5,17.305990735439547,4.903190548066413,True,13,12.964218026924984,77.57792151252345
5,BTP058 - Subbanna Junction,Upparpet,00:00-03:00,E Late-night (00-06),Friday,5922,1810.1999999999998,19.50762504554208,5.576172383282152,False,12,12.979581562980284,77.57882809320571
6,No Junction,Kodigehalli,10:00-13:00,A Morning (06-11),Monday,3539,1563.8,20.823326467942096,6.157549575808045,False,1,13.071277900894897,77.5881018918268
7,No Junction,HAL Old Airport,04:00-07:00,E Late-night (00-06),Thursday,4698,1383.1999999999998,22.569911741306107,6.671784729089677,False,1,12.93372331484429,77.69091162106106
8,BTP211 - Central Street Junction,Shivajinagar,09:00-12:00,A Morning (06-11),Sunday,5412,1315.9999999999998,24.581942286100926,7.161036798001352,False,15,12.982492075246677,77.6032826472214
9,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,09:00-12:00,A Morning (06-11),Tuesday,3695,1171.8,25.95564015435977,7.596679331702492,False,9,12.964684375089446,77.58275402057181
10,BTP027 - Modi Bridge Junction,Rajajinagar,07:00-10:00,A Morning (06-11),Tuesday,4307,1167.6,27.556862540987876,8.03076042263051,False,6,12.998587994214143,77.5494927502351
11,BTP032 - Windsor Circle,High ground,02:00-05:00,E Late-night (00-06),Wednesday,3113,1083.6,28.714189053542615,8.433612658096079,False,8,12.994593456622857,77.58705529158787
12,BTP020 - Hosahalli Metro Station,Vijayanagara,03:00-06:00,E Late-night (00-06),Tuesday,3757,1012.1999999999999,30.110936791309456,8.80992036641857,False,5,12.97313914840873,77.54557702571658
13,BTP045 - Danvanthri Road Junction,Upparpet,09:00-12:00,A Morning (06-11),Saturday,3996,949.9,31.59653805830873,9.16306667360641,True,4,12.977181364669255,77.57477737444468
14,"BTP070 - Cholurpalya Junction, Magadi Road",Magadi Road,10:00-13:00,A Morning (06-11),Monday,2636,933.8,32.576529284487435,9.51022745016395,False,4,12.973601048570401,77.55044889742784
15,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara,10:00-13:00,A Morning (06-11),Saturday,2575,718.9,33.53384241324699,9.777494404830062,False,6,12.965453683687727,77.53723795702435
16,BTP042 - Minsk Square Junction (CTO),Shivajinagar,04:00-07:00,E Late-night (00-06),Thursday,2140,683.9,34.32943468336171,10.03174933638682,False,5,12.981456852475521,77.59832471173152
17,BTP038 - Mysore Bank Junction,Upparpet,08:00-11:00,A Morning (06-11),Wednesday,2263,642.5999999999999,35.170754920403596,10.270650080674542,False,10,12.97268391683508,77.58117684677077
18,BTP043 - Upparpet Junction,City Market,08:00-11:00,A Morning (06-11),Monday,2432,618.0999999999999,36.074904640459216,10.500442408785716,False,5,12.972041377797899,77.57537935086995
19,No Junction,Hebbala,03:00-06:00,E Late-night (00-06),Wednesday,2431,601.3,36.97868258842599,10.723988965804402,False,2,13.0351204848224,77.58893100287621
20,BTP057 - Anand Rao Junction,Upparpet,09:00-12:00,A Morning (06-11),Sunday,3050,592.1999999999999,38.1125874593839,10.944152396814655,False,8,12.980284144177336,77.57408394926011
21,BTP023 - Mahalaxmi Layout Entrance,Malleshwaram,08:00-11:00,A Morning (06-11),Saturday,1647,576.0999999999999,38.72489608970117,11.158330297194606,False,6,13.00903348281251,77.54922938976934
22,No Junction,K.R. Pura,23:00-02:00,D Night (20-24),Saturday,1605,573.9999999999999,39.32159029228722,11.371727476187996,False,1,13.00821818222169,77.69492224095595
23,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Rajajinagar,01:00-04:00,E Late-night (00-06),Thursday,1265,571.9000000000001,39.79188198466812,11.584343933794825,False,7,12.994395164419101,77.5543043265199
24,No Junction,Shivajinagar,09:00-12:00,A Morning (06-11),Monday,1811,557.1999999999999,40.46516123755493,11.791495341695725,False,1,12.982271106847046,77.61048929928216
25,No Junction,HAL Old Airport,07:00-10:00,A Morning (06-11),Thursday,1429,549.5,40.99642355250538,11.995784104512568,False,2,12.939914598078381,77.6957134926689
26,No Junction,HAL Old Airport,03:00-06:00,E Late-night (00-06),Tuesday,1627,525.0,41.60129674104587,12.190964451152865,False,3,12.932962161171105,77.69134498189851
27,"BTP026 - 1st Block Junction, Rajajinagar",Malleshwaram,07:00-10:00,A Morning (06-11),Thursday,1274,504.7,42.07493438222632,12.378597824389734,False,5,13.002062408826472,77.55009369777142
28,"BTP083 - AS Char Street, Mysore Road",Chamarajpet,00:00-03:00,E Late-night (00-06),Sunday,2621,480.9,43.049349027072445,12.557383021912246,False,6,12.966283881815658,77.57420030176472
29,No Junction,Chikkajala,11:00-14:00,B Midday (11-16),Friday,2502,475.99999999999994,43.97952279334677,12.734346536199448,False,2,13.183911785139317,77.67968149495158
30,No Junction,Malleshwaram,09:00-12:00,A Morning (06-11),Monday,1060,450.09999999999997,44.37360120751575,12.901681153385727,False,1,13.0118222095283,77.5545368826415
31,No Junction,Mahadevapura,09:00-12:00,A Morning (06-11),Saturday,1382,450.09999999999997,44.88739023429077,13.069015770572006,False,1,12.996151222268276,77.66843172216531
32,No Junction,Malleshwaram,09:00-12:00,A Morning (06-11),Sunday,1092,445.9,45.29336535530258,13.234788944985166,False,1,12.999646212153737,77.57136476310833
33,"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,08:00-11:00,A Morning (06-11),Sunday,2139,441.7,46.088585853328475,13.3990006766252,False,6,13.006123414480948,77.55436253865558
