zone,date,pred,lat,lon,junction_name,police_station
87_281,2024-04-09,0.42,12.818245407079647,77.6893132159292,No Junction,Electronic City
365_251,2024-04-09,0.61,13.19205387064516,77.64725394596775,No Junction,Chikkajala
364_250,2024-04-09,3.71,13.191233695712484,77.6461910812106,No Junction,Chikkajala
362_275,2024-04-09,1.29,13.188397764192139,77.68041464628821,No Junction,Devanahalli Airport
364_249,2024-04-09,0.45,13.190603323913043,77.64558659347826,No Junction,Chikkajala
361_275,2024-04-09,2.1,13.187039042758622,77.68055669086206,No Junction,Chikkajala
363_275,2024-04-09,0.76,13.189899912222222,77.6806237188889,No Junction,Devanahalli Airport
88_281,2024-04-09,0.44,12.81900012222222,77.68905225777779,No Junction,Electronic City
364_275,2024-04-09,1.15,13.1910172925,77.68073087416666,No Junction,Devanahalli Airport
204_187,2024-04-09,6.73,12.975741040669352,77.55898727110986,No Junction,Magadi Road
360_274,2024-04-09,3.11,13.185771292946708,77.67990098056426,No Junction,Chikkajala
193_189,2024-04-09,0.61,12.960680684090908,77.56202371590909,"BTP089 - Police Quarters, Sultan Road",Chamarajpet
193_196,2024-04-09,0.42,12.960596296969698,77.57152880606061,BTP212 - Minto Junction,V.V.Puram (C.Pet)
193_200,2024-04-09,2.3,12.96093076893617,77.57763074787235,BTP082 - KR Market Junction,City Market
193_202,2024-04-09,0.42,12.960429740909092,77.57992641136364,BTP167 - JC Road Junction,City Market
193_205,2024-04-09,0.53,12.960804220408164,77.58379734693877,"BTP168 - MSR Building, JC Road",Halasuru Gate
193_207,2024-04-09,0.56,12.961135380555554,77.5868875,BTP180 - Swagath Poornima Theatre,Halasuru Gate
193_208,2024-04-09,0.45,12.960842868421052,77.5879927631579,BTP180 - Swagath Poornima Theatre,Halasuru Gate
193_218,2024-04-09,0.58,12.960466980327867,77.60155518360656,BTP172 - Nanjappa Circle,Ashok Nagar
193_242,2024-04-09,0.42,12.96131343611111,77.635370925,"BTP145 - Sri Hatti Maramma Circle, Domluru",Halasur
193_243,2024-04-09,0.44,12.961143185981308,77.63665910747665,"BTP145 - Sri Hatti Maramma Circle, Domluru",Halasur
193_244,2024-04-09,0.42,12.960682348750002,77.6381971775,BTP146 - Domlur Water Tank,Halasur
193_247,2024-04-09,0.53,12.960341231508487,77.64240905283297,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar
193_248,2024-04-09,0.52,12.960322529586865,77.64381543968847,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar
193_249,2024-04-09,1.0,12.960183903601761,77.64492437264458,No Junction,Jeevanbheemanagar
193_252,2024-04-09,0.57,12.960493806613258,77.64925428675028,No Junction,Jeevanbheemanagar
193_188,2024-04-09,0.52,12.960948305714286,77.56049058571429,BTP091 - Sirsi Circle,Chamarajpet
193_290,2024-04-09,0.69,12.960758431799857,77.70160172500424,No Junction,HAL Old Airport
193_165,2024-04-09,0.42,12.960697307829976,77.52883860447427,BTP017 - Attiguppe Circle,Byatarayanapura
193_153,2024-04-09,1.09,12.96094053410596,77.5119343062914,No Junction,Jnanabharathi
192_199,2024-04-09,1.12,12.959355860606061,77.57605510516935,BTP104 - Medical College Circle,City Market
192_200,2024-04-09,3.04,12.95924667056928,77.57725535445756,BTP104 - Medical College Circle,City Market
192_201,2024-04-09,0.55,12.959000587755101,77.57875738979591,BTP167 - JC Road Junction,City Market
192_207,2024-04-09,0.49,12.959303815384617,77.58700323076923,BTP180 - Swagath Poornima Theatre,Wilson Garden
192_249,2024-04-09,0.97,12.95907402008547,77.64555391581197,No Junction,Jeevanbheemanagar
192_250,2024-04-09,0.71,12.959654613573033,77.64593801963362,No Junction,Jeevanbheemanagar
192_251,2024-04-09,0.46,12.959876958536586,77.64768770731706,No Junction,Jeevanbheemanagar
192_252,2024-04-09,1.41,12.959581431730163,77.64903585227385,No Junction,Jeevanbheemanagar
192_257,2024-04-09,0.73,12.959405306414608,77.65584326425902,No Junction,Jeevanbheemanagar
192_258,2024-04-09,0.42,12.959258712903226,77.65705511612903,No Junction,Jeevanbheemanagar
192_266,2024-04-09,1.93,12.958938842608696,77.66803411043477,No Junction,HAL Old Airport
192_290,2024-04-09,0.6,12.959294021917808,77.70132120753425,No Junction,HAL Old Airport
192_300,2024-04-09,0.76,12.959100876923078,77.7159595048951,No Junction,HAL Old Airport
192_301,2024-04-09,0.44,12.959558454545453,77.71624990454546,No Junction,HAL Old Airport
193_152,2024-04-09,0.61,12.960996203164557,77.51126474556962,No Junction,Jnanabharathi
193_164,2024-04-09,0.42,12.960960980855956,77.52769432124029,No Junction,Byatarayanapura
193_301,2024-04-09,0.48,12.960564051327433,77.71643428053096,No Junction,HAL Old Airport
194_200,2024-04-09,0.78,12.961663560583942,77.57751896277372,BTP082 - KR Market Junction,City Market
194_205,2024-04-09,0.55,12.961644768085106,77.58400865957447,"BTP168 - MSR Building, JC Road",Halasuru Gate
195_247,2024-04-09,0.46,12.963510571287468,77.64160528036635,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar
195_301,2024-04-09,0.77,12.963162706944445,77.71728614166666,No Junction,HAL Old Airport
195_302,2024-04-09,0.48,12.963787647083333,77.71778644,No Junction,HAL Old Airport
195_313,2024-04-09,0.85,12.963639484605052,77.73309303583561,No Junction,Whitefield
196_171,2024-04-09,0.42,12.96533315111327,77.53750026374857,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara
196_172,2024-04-09,1.33,12.96490857524167,77.53875877037075,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara
196_173,2024-04-09,0.54,12.964554411370262,77.53979017755103,"BTP016 - 5th Main Road, RPC Layout",Vijayanagara
196_174,2024-04-09,0.42,12.964294223809524,77.54089073809524,No Junction,Vijayanagara
196_175,2024-04-09,0.54,12.964279163063063,77.54255643063064,No Junction,Vijayanagara
196_180,2024-04-09,0.54,12.964363324137931,77.5497069413793,No Junction,Magadi Road
196_182,2024-04-09,0.68,12.964453863934425,77.55223047868853,No Junction,Magadi Road
196_183,2024-04-09,1.15,12.964315178431374,77.55376589019608,No Junction,Magadi Road
