rank,zone,n_tickets,w_tickets,lat,lon,sev_mean,junction_share,veh_mean,n_days,n_hours,approved_share,rejected_share,top_violation,top_vehicle,police_station,junction_name,address,peak_hour,peak_dow,persistence,c_volume,c_severity,c_junction,c_vehicle,c_persistence,CIS,tier
1,208_224,4778,3865.7,12.981073141501554,77.61023900969049,0.53142524,1.0,0.5389556,149,16,0.2867308497279196,0.2540812055253244,WRONG PARKING,PASSENGER AUTO,Shivajinagar,BTP051 - Safina Plaza Junction,"Kamaraj Road, Sri Nagamma Devi Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",10,Sunday,0.8626666666666667,0.9893714,0.14804594,1.0,0.47367716,0.88036593947924,71.8695765141762,Critical
2,195_200,2365,2036.35,12.963781571796822,77.57693763021277,0.5708118,1.0,0.44307822,139,23,0.2452431289640592,0.18477801268498942,WRONG PARKING,SCOOTER,City Market,BTP082 - KR Market Junction,"KR Main Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",0,Wednesday,0.9393333333333334,0.8745128,0.21965788,1.0,0.29216668,0.9612948627726954,68.63401054735652,Critical
3,210_219,2980,2413.6,12.984032324664431,77.60349685714766,0.5159228,1.0,0.5388792,132,19,0.4526845637583893,0.24899328859060402,WRONG PARKING,PASSENGER AUTO,Shivajinagar,BTP211 - Central Street Junction,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",10,Monday,0.8446666666666667,0.90496546,0.119859666,1.0,0.4735325,0.8613652357494722,68.01926165226686,Critical
4,196_200,2667,2360.1,12.96441892858199,77.57710626583115,0.543952,1.0,0.42493066,148,20,0.30071241094863144,0.1529808773903262,WRONG PARKING,SCOOTER,City Market,BTP082 - KR Market Junction,"Silver Jubilee Park Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",0,Sunday,0.9253333333333333,0.90094906,0.17082185,1.0,0.2578106,0.9465165376495426,67.84703639877945,Critical
5,205_200,2808,2582.1,12.976898897115383,77.57722111467237,0.5028668,1.0,0.49746796,150,16,0.4707977207977208,0.10683760683760683,NO PARKING,CAR,Upparpet,BTP040 - Elite Junction,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9,Tuesday,0.8666666666666667,0.9170575,0.09612153,1.0,0.39513472,0.8845883180858551,67.29728097236341,Critical
6,196_199,2824,2536.0,12.964616258392352,77.57611555279746,0.5374717,1.0,0.40128896,128,20,0.34631728045325777,0.13385269121813032,WRONG PARKING,SCOOTER,City Market,BTP082 - KR Market Junction,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",1,Wednesday,0.8453333333333334,0.91382945,0.15903953,1.0,0.21305327,0.8620689655172414,66.71124111347157,Critical
7,205_202,1886,1694.3,12.977026144273596,77.57991941325557,0.520228,1.0,0.57699895,138,15,0.4750795334040297,0.13361611876988336,WRONG PARKING,CAR,Upparpet,BTP044 - Sagar Theatre Junction,"1st Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9,Saturday,0.802,0.8415673,0.12768738,1.0,0.54569894,0.816326530612245,66.26729244328274,Critical
8,205_199,3784,3476.5,12.977165214904863,77.57612441292284,0.4875132,1.0,0.3823864,147,16,0.4426532769556025,0.10676532769556026,NO PARKING,SCOOTER,Upparpet,BTP040 - Elite Junction,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9,Saturday,0.8546666666666667,0.97035456,0.06820591,1.0,0.17726783,0.8719211822660099,66.15944680413736,Critical
9,204_199,2383,2098.45,12.975576602517835,77.57612092299622,0.5169324,1.0,0.41237935,136,19,0.38564834242551405,0.15820394460763743,WRONG PARKING,SCOOTER,Upparpet,BTP040 - Elite Junction,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9,Monday,0.8606666666666666,0.87989503,0.121695384,1.0,0.23404907,0.8782547501759324,64.96174843414286,High
10,208_223,1878,1621.65,12.981354578039275,77.60894754414684,0.523935,1.0,0.46946755,139,16,0.3908413205537806,0.1794462193823216,WRONG PARKING,CAR,Shivajinagar,BTP051 - Safina Plaza Junction,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",10,Sunday,0.8226666666666667,0.83371603,0.13442737,1.0,0.34212568,0.8381421534130894,64.34342314095291,High
11,203_201,1411,1280.35,12.973939468391213,77.57854878766832,0.54312545,1.0,0.50458544,134,16,0.3557760453579022,0.12260807937632884,WRONG PARKING,CAR,Upparpet,BTP044 - Sagar Theatre Junction,"1st Cross Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",10,Monday,0.8026666666666666,0.79138535,0.16931905,1.0,0.40860918,0.817030260380014,64.18785722966894,High
12,206_198,1132,1023.25,12.978193472438162,77.57437325318021,0.5502209,1.0,0.5219258,139,18,0.5203180212014135,0.12809187279151943,WRONG PARKING,CAR,Upparpet,BTP045 - Danvanthri Road Junction,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",5,Sunday,0.856,0.75124025,0.18221988,1.0,0.44143713,0.8733286418015482,63.99656326323223,High
