zone,n_tickets,lat,lon,junction_name,police_station,address,context,generator_kw
100_274,44,12.835554218181818,77.67922800909092,No Junction,Electronic City,"Hosur Road, Columbia Aaltius, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Mixed / Other,
103_273,35,12.839343965714287,77.67781172285714,No Junction,Electronic City,"Hosur Road, Gopalan Lake Front, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Mixed / Other,
104_248,34,12.840948655882352,77.64408697941177,No Junction,Electronic City,"Neeladri Road, Himagiri Residency, Bettadasanapura, Bengaluru, Karnataka. Pin-560100 (India)",Mixed / Other,
104_252,32,12.841143709375,77.649208365625,No Junction,Electronic City,"Neeladri Road, Ittina Mahaveer, Neeladri Nagar, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Residential,nagar
104_253,64,12.84082549375,77.6504564203125,No Junction,Electronic City,"Neeladri Road, Genesis Eco Sphere, Neeladri Nagar, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Residential,nagar
104_272,334,12.840661124481496,77.67678185757477,No Junction,Electronic City,"Hosur Road, Salarpuria Sattva Alexandria Tech Park, Veerasandra Industrial Area, Bengaluru, Karnataka. Pin-560100 (India)",Mixed / Other,
105_248,214,12.842099321028039,77.64415906635513,No Junction,Electronic City,"Neeladri Road, SNN Raj Neeladri Apartments, Bettadasanapura, Bengaluru, Karnataka. Pin-560100 (India)",Mixed / Other,
105_249,440,12.841774449545454,77.64502461795455,No Junction,Electronic City,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",Residential,nagar
105_250,693,12.841880731313132,77.6460281948052,No Junction,Electronic City,"Neeladri Road, Ajmera Annex, Karuna Nagar, Doddathogur, Bengaluru, Karnataka. Pin-560100 (India)",Residential,nagar
105_251,453,12.841623384988962,77.64745467350994,No Junction,Electronic City,"Neeladri Road, Neeladri Nagar, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Residential,nagar
106_248,76,12.843334614010654,77.64416243959805,No Junction,Electronic City,"Neeladri Road, Doddathoguru Cross Junction, Bengaluru, Karnataka. Pin-560100 (India)",Commercial street,cross
106_249,63,12.843216680952382,77.64437873174603,No Junction,Electronic City,"Neeladri Road, Doddathoguru Cross Junction, Bengaluru, Karnataka. Pin-560100 (India)",Commercial street,cross
111_258,55,12.850759903636362,77.65746396727273,No Junction,Electronic City,"Road Number 1, Salarpuria Infozone, Phase 1, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Mixed / Other,
112_258,61,12.851084395081967,77.65743829836065,No Junction,Electronic City,"Road Number 1, Salarpuria Infozone, Phase 1, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Mixed / Other,
114_261,30,12.85432268,77.66211305,No Junction,Electronic City,"Hewlett Packard Avenue, Nanjuda Reddy Layout, Phase 1, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Residential,layout
115_263,50,12.855563261124876,77.66432753442808,No Junction,Electronic City,"Hosur Road, Nanjuda Reddy Layout, Phase 1, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",Residential,layout
120_166,44,12.862463374999999,77.53022167045455,No Junction,Thalagattapura,"Konanakunte Main Road, SS Vrudhi, VISL Layout, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",Commercial street,main road
125_255,62,12.869560441935484,77.65347306451613,No Junction,Electronic City,"Hosur Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",Residential,nagar
126_255,111,12.870260525732476,77.65356024952385,No Junction,Electronic City,"Hosa Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",Residential,nagar
126_256,159,12.870735446996507,77.65448525182592,No Junction,Electronic City,"Hosa Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",Residential,nagar
126_257,100,12.870582385,77.655891425,No Junction,Electronic City,"Hosa Road, Navami Funique, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",Residential,nagar
126_258,33,12.870431236363636,77.65742813939393,No Junction,Electronic City,"Hosa Road, Naganathapura Junction, Rayasandra, Bengaluru, Karnataka. Pin-560100 (India)",Mixed / Other,
127_172,32,12.871723934375,77.538980053125,No Junction,Thalagattapura,"Konanakunte Main Road, Paramount Gardens, Jyotipuram, Thalaghattapura, Bengaluru, Karnataka. Pin-560109 (India)",Commercial street,main road
128_212,48,12.872962463200189,77.59421688543058,No Junction,Hulimavu,"Bannerghatta Main Road, Prestige Notting Hill, Kalena Agrahara, Bengaluru, Karnataka. Pin-560076 (India)",Commercial street,main road
129_252,39,12.874865151282052,77.64877247179487,No Junction,Hulimavu,"Hosur Road, Singasandra Industrial Estate, Begur, Bengaluru, Karnataka. Pin-560068 (India)",Mixed / Other,
130_176,45,12.875839567070104,77.54398752718994,No Junction,Thalagattapura,"Konanakunte Main Road, Bayanapalya, Bengaluru, Karnataka. Pin-560109 (India)",Commercial street,main road
130_213,180,12.876071136111111,77.59541069333333,No Junction,Hulimavu,"Bannerghatta Main Road, Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",Mall / Shopping,mall
130_214,216,12.876262912037037,77.59656760277777,No Junction,Hulimavu,"Shri Ramalingeshwara Cave Temple Road, Royal Meenakshi Mall, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",Mall / Shopping,mall
130_229,34,12.875934358823528,77.6168152,No Junction,Hulimavu,"Westend Avenue, Akshaya Nagar, Nyanappanahalli, Devarachikannahalli, Bengaluru, Karnataka. Pin-560068 (India)",Residential,nagar
130_251,192,12.875927525520835,77.6478917125,No Junction,Hulimavu,"Hosur Road, Total Environment Greensleeves, HAL Layout, Bengaluru, Karnataka. Pin-560068 (India)",Residential,layout
